CLIENT_ID,SEGM_DATE,AVG_MG,AVG_MG_1,AVG_MG_2,MIN_MG,MIN_MG_1,MIN_MG_2,MAX_MG,MAX_MG_1,MAX_MG_2,COUNT_TR,COUNT_TR_1,COUNT_TR_2,SUM_TR_TOTAL,SUM_TR_TOTAL_1,SUM_TR_TOTAL_2,SUM_TR,SUM_TR_1,SUM_TR_2,RECENTY,RECENTY_1,RECENTY_2,AVG_SKU,AVG_SKU_1,AVG_SKU_2,AVG_COUNT_TR,AVG_COUNT_TR_1,AVG_COUNT_TR_2,MIN_COUNT_TR,MIN_COUNT_TR_1,MIN_COUNT_TR_2,MAX_COUNT_TR,MAX_COUNT_TR_1,MAX_COUNT_TR_2,AVG_SUM_TR_TOTAL,AVG_SUM_TR_TOTAL_1,AVG_SUM_TR_TOTAL_2,AVG_SUM_TR,AVG_SUM_TR_1,AVG_SUM_TR_2,AVG_LATENCY,AVG_LATENCY_1,AVG_LATENCY_2,MIN_LATENCY,MIN_LATENCY_1,MIN_LATENCY_2,MAX_LATENCY,MAX_LATENCY_1,MAX_LATENCY_2,NP_AMOUNT,NP_AMOUNT_1,NP_AMOUNT_2,NP_SUM,NP_SUM_1,NP_SUM_2,PR_AMOUNT,PR_AMOUNT_1,PR_AMOUNT_2,PR_SUM,PR_SUM_1,PR_SUM_2,AL_AMOUNT,AL_AMOUNT_1,AL_AMOUNT_2,AL_SUM,AL_SUM_1,AL_SUM_2,OTHER_SUM,OTHER_SUM_1,OTHER_SUM_2,FAVORITE_STORE,FAVORITE_STORE_1,FAVORITE_STORE_2,SUM_MG,SUM_MG_1,SUM_MG_2,D_TRANS,D_TRANS_1,D_TRANS_2,AVG_BILL,AVG_BILL_1,AVG_BILL_2,SEGMENT_ID,SEGMENT_ID_1,SEGMENT_ID_2,DISTANCE,DISTANCE_1,DISTANCE_2,SUM_TR_TOTAL_BASE_DIST,SUM_TR_TOTAL_BASE_DIST_1,SUM_TR_TOTAL_BASE_DIST_2,SUM_TR_TOTAL_ETALON_DIST,SUM_TR_TOTAL_ETALON_DIST_1,SUM_TR_TOTAL_ETALON_DIST_2,SUM_TR_TOTAL_DIST_TYPE,SUM_TR_TOTAL_DIST_TYPE_1,SUM_TR_TOTAL_DIST_TYPE_2,AVG_BILL_BASE_DIST,AVG_BILL_BASE_DIST_1,AVG_BILL_BASE_DIST_2,AVG_BILL_ETALON_DIST,AVG_BILL_ETALON_DIST_1,AVG_BILL_ETALON_DIST_2,AVG_BILL_DIST_TYPE,AVG_BILL_DIST_TYPE_1,AVG_BILL_DIST_TYPE_2,AVG_COUNT_TR_BASE_DIST,AVG_COUNT_TR_BASE_DIST_1,AVG_COUNT_TR_BASE_DIST_2,AVG_COUNT_TR_ETALON_DIST,AVG_COUNT_TR_ETALON_DIST_1,AVG_COUNT_TR_ETALON_DIST_2,AVG_COUNT_TR_DIST_TYPE,AVG_COUNT_TR_DIST_TYPE_1,AVG_COUNT_TR_DIST_TYPE_2,D_TRANS_BASE_DIST,D_TRANS_BASE_DIST_1,D_TRANS_BASE_DIST_2,D_TRANS_ETALON_DIST,D_TRANS_ETALON_DIST_1,D_TRANS_ETALON_DIST_2,D_TRANS_DIST_TYPE,D_TRANS_DIST_TYPE_1,D_TRANS_DIST_TYPE_2,AVG_MG_BASE_DIST,AVG_MG_BASE_DIST_1,AVG_MG_BASE_DIST_2,AVG_MG_ETALON_DIST,AVG_MG_ETALON_DIST_1,AVG_MG_ETALON_DIST_2,AVG_MG_DIST_TYPE,AVG_MG_DIST_TYPE_1,AVG_MG_DIST_TYPE_2,SUM_MG_BASE_DIST,SUM_MG_BASE_DIST_1,SUM_MG_BASE_DIST_2,SUM_MG_ETALON_DIST,SUM_MG_ETALON_DIST_1,SUM_MG_ETALON_DIST_2,SUM_MG_DIST_TYPE,SUM_MG_DIST_TYPE_1,SUM_MG_DIST_TYPE_2,GROUP_CHANGE_RESULT,GROUP_CHANGE_RESULT_1,GROUP_CHANGE_RESULT_2,PROFIT_GROUP_ID,PROFIT_GROUP_ID_1,PROFIT_GROUP_ID_2,CHANGE_PROFIT_GROUP_ID,CHANGE_PROFIT_GROUP_ID_1,CHANGE_PROFIT_GROUP_ID_2,CHANGE_SEGMENT_ID,CHANGE_SEGMENT_ID_1,CHANGE_SEGMENT_ID_2,PVAL_GROUP_CHANGE0,PVAL_GROUP_CHANGE0_1,PVAL_GROUP_CHANGE0_2,PVAL_GROUP_CHANGE1,PVAL_GROUP_CHANGE1_1,PVAL_GROUP_CHANGE1_2,PVAL_GROUP_CHANGE_1,PVAL_GROUP_CHANGE_1_1,PVAL_GROUP_CHANGE_1_2,MODIFY_DATE,MODIFY_DATE_1,MODIFY_DATE_2,_SEGMENT_,_SEGMENT__1,_SEGMENT__2,_SEGMENT_LABEL_,_SEGMENT_LABEL__1,_SEGMENT_LABEL__2,EM_SEGMENT,EM_SEGMENT_1,EM_SEGMENT_2
1-ET-1502,01MAR2012:00:00:00,4.0,,,4,,,4,,,1,,,3214.5,,,3316.62,,,13,,,5.0,,,0.33,,,0,,,1,,,1071.5,,,1105.54,,,13.83,,,4.0,,,32.0,,,3,,,2685.2,,,1,,,529.3,,,0,,,0,,,0,,,10,,,4,,,1.0,,,3214.5,,,11,,,0.1002588248,,,-243.3806639,,,1587.0,,,Pre_Etalon,,,-1504.761454,,,-651.5,,,Etalon,,,0.3194612345,,,0.67,,,Pre_Base,,,-0.011409157,,,0.0,,,Etalon,,,0.2598615376,,,2.5,,,Pre_Base,,,2.6018821255,,,6,,,Pre_Base,,,0.0,,,4.0,,,3.0,,,7.0,,,0.6352563762,,,0.0945437977,,,0.0427300201,,,18APR2014:15:43:32.045877,,,2,,,Cluster11,,,11,,
1-ET-1502,01APR2012:00:00:00,6.25,4.0,,1,4.0,,19,4.0,,4,1.0,,13764.0,3214.5,,14673.23,3316.62,,10,13.0,,10.5,5.0,,1.33,0.33,,0,0.0,,3,1.0,,4588.0,1071.5,,4891.08,1105.54,,11.0,13.83,,3.0,4.0,,16.0,32.0,,4,3.0,,5356.9,2685.2,,18,1.0,,8407.1,529.3,,0,0.0,,0,0.0,,0,0.0,,10,10.0,,22,4.0,,0.75,1.0,,3441.0,3214.5,,9,11.0,,0.0818862448,0.1002588248,,-3877.549228,-243.3806639,,347.0,1587.0,,Pre_Etalon,Pre_Etalon,,-1447.046638,-1504.761454,,-616.5,-651.5,,Etalon,Etalon,,0.4515119931,0.3194612345,,1.0,0.67,,Pre_Base,Pre_Base,,-0.012783258,-0.011409157,,-0.083333333,0.0,,Etalon,Etalon,,-0.302016436,0.2598615376,,1.75,2.5,,Pre_Etalon,Pre_Base,,-2.949087994,2.6018821255,,3,6.0,,Pre_Etalon,Pre_Base,,0.0,0.0,,4.0,4.0,,4.0,3.0,,9.0,7.0,,0.6163522013,0.6352563762,,0.0624438455,0.0945437977,,0.3212039533,0.0427300201,,18APR2014:18:11:24.215456,18APR2014:15:43:32.045877,,4,2.0,,Cluster9,Cluster11,,9,11.0,
1-ET-1502,01MAY2012:00:00:00,6.83,6.25,4.0,1,1.0,4.0,19,19.0,4.0,6,4.0,1.0,23889.0,13764.0,3214.5,25500.05,14673.23,3316.62,25,10.0,13.0,11.5,10.5,5.0,2.0,1.33,0.33,1,0.0,0.0,3,3.0,1.0,7963.0,4588.0,1071.5,8500.02,4891.08,1105.54,9.8,11.0,13.83,0.0,3.0,4.0,16.0,16.0,32.0,5,4.0,3.0,10233.49,5356.9,2685.2,24,18.0,1.0,13655.51,8407.1,529.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,29,10.0,10.0,29,22.0,4.0,0.3333333333,0.75,1.0,3981.5,3441.0,3214.5,6,9.0,11.0,0.1825421721,0.0818862448,0.1002588248,-2448.706457,-3877.549228,-243.3806639,6007.0,347.0,1587.0,Pre_Etalon,Pre_Etalon,Pre_Etalon,-1750.192546,-1447.046638,-1504.761454,-909.4333333,-616.5,-651.5,Etalon,Etalon,Etalon,1.592761442,0.4515119931,0.3194612345,3.0,1.0,0.67,Pre_Base,Pre_Base,Pre_Base,-0.12739481,-0.012783258,-0.011409157,-0.222222222,-0.083333333,0.0,Etalon,Etalon,Etalon,0.3638191104,-0.302016436,0.2598615376,2.17,1.75,2.5,Pre_Base,Pre_Etalon,Pre_Base,2.0567263351,-2.949087994,2.6018821255,9,3.0,6.0,Pre_Base,Pre_Etalon,Pre_Base,0.0,0.0,0.0,3.0,4.0,4.0,3.0,4.0,3.0,6.0,9.0,7.0,0.6241758242,0.6163522013,0.6352563762,0.3727810651,0.0624438455,0.0945437977,0.0030431107,0.3212039533,0.0427300201,18APR2014:18:53:16.228328,18APR2014:18:11:24.215456,18APR2014:15:43:32.045877,6,4.0,2.0,Cluster6,Cluster9,Cluster11,6,9.0,11.0
1-ET-1502,01JUN2012:00:00:00,6.29,6.83,6.25,1,1.0,1.0,19,19.0,19.0,7,6.0,4.0,25101.5,23889.0,13764.0,26749.93,25500.05,14673.23,8,25.0,10.0,10.86,11.5,10.5,2.33,2.0,1.33,2,1.0,0.0,3,3.0,3.0,8367.17,7963.0,4588.0,8916.64,8500.02,4891.08,13.83,9.8,11.0,0.0,0.0,3.0,42.0,16.0,16.0,5,5.0,4.0,7548.29,10233.49,5356.9,25,24.0,18.0,17553.21,13655.51,8407.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,29,29.0,10.0,30,29.0,22.0,0.1428571429,0.3333333333,0.75,3585.9285714,3981.5,3441.0,6,6.0,9.0,0.1325918395,0.1825421721,0.0818862448,-3930.126988,-2448.706457,-3877.549228,4372.5,6007.0,347.0,Pre_Etalon,Pre_Etalon,Pre_Etalon,-1382.206763,-1750.192546,-1447.046638,-574.5535714,-909.4333333,-616.5,Etalon,Etalon,Etalon,1.2610877122,1.592761442,0.4515119931,2.67,3.0,1.0,Pre_Base,Pre_Base,Pre_Base,0.0653656084,-0.12739481,-0.012783258,-0.025210084,-0.222222222,-0.083333333,Pre_Base,Etalon,Etalon,0.8890664517,0.3638191104,-0.302016436,2.71,2.17,1.75,Pre_Base,Pre_Base,Pre_Etalon,1.0977883017,2.0567263351,-2.949087994,8,9.0,3.0,Pre_Base,Pre_Base,Pre_Etalon,0.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,4.0,6.0,6.0,9.0,0.6923613533,0.6241758242,0.6163522013,0.3010115103,0.3727810651,0.0624438455,0.0066271364,0.0030431107,0.3212039533,18APR2014:19:26:16.159281,18APR2014:18:53:16.228328,18APR2014:18:11:24.215456,6,6.0,4.0,Cluster6,Cluster6,Cluster9,6,6.0,9.0
1-ET-1502,01JUL2012:00:00:00,10.6,6.29,6.83,1,1.0,1.0,30,19.0,19.0,5,7.0,6.0,32506.0,25101.5,23889.0,34514.59,26749.93,25500.05,10,8.0,25.0,20.8,10.86,11.5,1.67,2.33,2.0,1,2.0,1.0,2,3.0,3.0,10835.33,8367.17,7963.0,11504.86,8916.64,8500.02,19.0,13.83,9.8,0.0,0.0,0.0,42.0,42.0,16.0,6,5.0,5.0,8005.79,7548.29,10233.49,30,25.0,24.0,24500.21,17553.21,13655.51,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,29,29.0,29.0,36,30.0,29.0,0.2,0.1428571429,0.3333333333,6501.2,3585.9285714,3981.5,6,6.0,6.0,0.2994712255,0.1325918395,0.1825421721,-11665.09052,-3930.126988,-2448.706457,-3542.0,4372.5,6007.0,Etalon,Pre_Etalon,Pre_Etalon,-4326.085563,-1382.206763,-1750.192546,-3546.5,-574.5535714,-909.4333333,Etalon,Etalon,Etalon,1.9168192663,1.2610877122,1.592761442,3.33,2.67,3.0,Pre_Base,Pre_Base,Pre_Base,0.0082569148,0.0653656084,-0.12739481,-0.088888889,-0.025210084,-0.222222222,Pre_Base,Pre_Base,Etalon,-3.42498807,0.8890664517,0.3638191104,-1.6,2.71,2.17,Etalon,Pre_Base,Pre_Base,-4.875882295,1.0977883017,2.0567263351,2,8.0,9.0,Pre_Etalon,Pre_Base,Pre_Base,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,0.884269279,0.6923613533,0.6241758242,0.0945437977,0.3010115103,0.3727810651,0.0211869233,0.0066271364,0.0030431107,18APR2014:19:57:46.356046,18APR2014:19:26:16.159281,18APR2014:18:53:16.228328,6,6.0,6.0,Cluster6,Cluster6,Cluster6,6,6.0,6.0
1-ET-1502,01AUG2012:00:00:00,7.0,10.6,6.29,2,1.0,1.0,30,30.0,19.0,9,5.0,7.0,33490.5,32506.0,25101.5,35676.88,34514.59,26749.93,0,10.0,8.0,12.22,20.8,10.86,3.0,1.67,2.33,1,1.0,2.0,6,2.0,3.0,11163.5,10835.33,8367.17,11892.29,11504.86,8916.64,9.38,19.0,13.83,0.0,0.0,0.0,30.0,42.0,42.0,6,6.0,5.0,5912.35,8005.79,7548.29,35,30.0,25.0,27578.15,24500.21,17553.21,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10,29.0,29.0,41,36.0,30.0,0.5555555556,0.2,0.1428571429,3721.1666667,6501.2,3585.9285714,7,6.0,6.0,0.1756421229,0.2994712255,0.1325918395,-12643.37917,-11665.09052,-3930.126988,-4107.5,-3542.0,4372.5,Etalon,Etalon,Pre_Etalon,-593.0028793,-4326.085563,-1382.206763,483.0,-3546.5,-574.5535714,Pre_Etalon,Etalon,Etalon,-0.394509332,1.9168192663,1.2610877122,1.0,3.33,2.67,Pre_Etalon,Pre_Base,Pre_Base,7.44086e-05,0.0082569148,0.0653656084,-0.055555556,-0.088888889,-0.025210084,Pre_Base,Pre_Base,Pre_Base,2.3062384083,-3.42498807,0.8890664517,4.5,-1.6,2.71,Pre_Base,Etalon,Pre_Base,-8.848456392,-4.875882295,1.0977883017,-1,2.0,8.0,Etalon,Pre_Etalon,Pre_Base,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,6.0,6.0,0.7743914911,0.884269279,0.6923613533,0.0293516056,0.0945437977,0.3010115103,0.1962569033,0.0211869233,0.0066271364,19APR2014:17:51:07.138602,18APR2014:19:57:46.356046,18APR2014:19:26:16.159281,8,6.0,6.0,Cluster7,Cluster6,Cluster6,7,6.0,6.0
1-ET-1502,01SEP2012:00:00:00,7.38,7.0,10.6,2,2.0,1.0,30,30.0,30.0,8,9.0,5.0,30431.0,33490.5,32506.0,32478.28,35676.88,34514.59,10,0.0,10.0,12.88,12.22,20.8,2.67,3.0,1.67,1,1.0,1.0,6,6.0,2.0,10143.67,11163.5,10835.33,10826.09,11892.29,11504.86,8.71,9.38,19.0,0.0,0.0,0.0,30.0,30.0,42.0,6,6.0,6.0,6067.35,5912.35,8005.79,34,35.0,30.0,24363.65,27578.15,24500.21,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,25,10.0,29.0,40,41.0,36.0,0.625,0.5555555556,0.2,3803.875,3721.1666667,6501.2,7,7.0,6.0,0.1698665501,0.1756421229,0.2994712255,-9914.267629,-12643.37917,-11665.09052,-1768.0,-4107.5,-3542.0,Etalon,Etalon,Etalon,-577.0511228,-593.0028793,-4326.085563,500.91071429,483.0,-3546.5,Pre_Etalon,Pre_Etalon,Etalon,-0.196173924,-0.394509332,1.9168192663,1.0,1.0,3.33,Pre_Etalon,Pre_Etalon,Pre_Base,-0.073075706,7.44086e-05,0.0082569148,-0.125,-0.055555556,-0.088888889,Etalon,Pre_Base,Pre_Base,2.0404678253,2.3062384083,-3.42498807,4.19,4.5,-1.6,Pre_Base,Pre_Base,Etalon,-8.409082415,-8.848456392,-4.875882295,-1,-1.0,2.0,Etalon,Etalon,Pre_Etalon,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,6.0,0.7743914911,0.7743914911,0.884269279,0.0293516056,0.0293516056,0.0945437977,0.1962569033,0.1962569033,0.0211869233,19APR2014:18:25:45.367656,19APR2014:17:51:07.138602,18APR2014:19:57:46.356046,8,8.0,6.0,Cluster7,Cluster7,Cluster6,7,7.0,6.0
1-ET-1502,01NOV2012:00:00:00,3.5,7.38,7.0,2,2.0,2.0,6,30.0,30.0,6,8.0,9.0,10446.0,30431.0,33490.5,10800.46,32478.28,35676.88,0,10.0,0.0,4.83,12.88,12.22,2.0,2.67,3.0,0,1.0,1.0,5,6.0,6.0,3482.0,10143.67,11163.5,3600.15,10826.09,11892.29,14.4,8.71,9.38,4.0,0.0,0.0,50.0,30.0,30.0,2,6.0,6.0,1521.33,6067.35,5912.35,13,34.0,35.0,8924.67,24363.65,27578.15,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,25,25.0,10.0,15,40.0,41.0,0.8333333333,0.625,0.5555555556,1741.0,3803.875,3721.1666667,9,7.0,7.0,0.1722729233,0.1698665501,0.1756421229,230.7693196,-9914.267629,-12643.37917,4761.0,-1768.0,-4107.5,Pre_Base,Etalon,Etalon,436.67432648,-577.0511228,-593.0028793,1307.0,500.91071429,483.0,Pre_Base,Pre_Etalon,Pre_Etalon,-0.232444911,-0.196173924,-0.394509332,0.33,1.0,1.0,Pre_Etalon,Pre_Etalon,Pre_Etalon,-0.098870287,-0.073075706,7.44086e-05,-0.166666667,-0.125,-0.055555556,Etalon,Etalon,Pre_Base,2.3827210471,2.0404678253,2.3062384083,4.5,4.19,4.5,Pre_Base,Pre_Base,Pre_Base,3.8602750318,-8.409082415,-8.848456392,10,-1.0,-1.0,Pre_Base,Etalon,Etalon,1.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,0.458626547,0.7743914911,0.7743914911,0.5251152633,0.0293516056,0.0293516056,0.0162581898,0.1962569033,0.1962569033,20APR2014:10:28:44.904630,19APR2014:18:25:45.367656,19APR2014:17:51:07.138602,4,8.0,8.0,Cluster9,Cluster7,Cluster7,9,7.0,7.0
1-ET-1502,01DEC2012:00:00:00,3.14,3.5,7.38,1,2.0,2.0,6,6.0,30.0,7,6.0,8.0,13560.5,10446.0,30431.0,14349.06,10800.46,32478.28,17,0.0,10.0,4.14,4.83,12.88,2.33,2.0,2.67,0,0.0,1.0,5,5.0,6.0,4520.17,3482.0,10143.67,4783.02,3600.15,10826.09,5.5,14.4,8.71,1.0,4.0,0.0,10.0,50.0,30.0,3,2.0,6.0,4361.33,1521.33,6067.35,15,13.0,34.0,9199.17,8924.67,24363.65,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,25,25.0,25.0,18,15.0,40.0,0.7142857143,0.8333333333,0.625,1937.2142857,1741.0,3803.875,9,9.0,7.0,0.1687727645,0.1722729233,0.1698665501,-2909.318652,230.7693196,-9914.267629,1600.5,4761.0,-1768.0,Pre_Etalon,Pre_Base,Etalon,255.91105858,436.67432648,-577.0511228,1135.2857143,1307.0,500.91071429,Pre_Base,Pre_Base,Pre_Etalon,-0.589253568,-0.232444911,-0.196173924,0.0,0.33,1.0,Etalon,Pre_Etalon,Pre_Etalon,0.0208534481,-0.098870287,-0.073075706,-0.047619048,-0.166666667,-0.125,Pre_Base,Etalon,Etalon,2.7913207873,2.3827210471,2.0404678253,4.86,4.5,4.19,Pre_Base,Pre_Base,Pre_Base,0.8884668508,3.8602750318,-8.409082415,7,10.0,-1.0,Pre_Base,Pre_Base,Etalon,0.0,1.0,0.0,4.0,4.0,3.0,4.0,3.0,3.0,9.0,7.0,7.0,0.6163522013,0.458626547,0.7743914911,0.0624438455,0.5251152633,0.0293516056,0.3212039533,0.0162581898,0.1962569033,20APR2014:11:07:29.240365,20APR2014:10:28:44.904630,19APR2014:18:25:45.367656,4,4.0,8.0,Cluster9,Cluster9,Cluster7,9,9.0,7.0
1-ET-1502,01JAN2013:00:00:00,3.14,3.14,3.5,1,1.0,2.0,6,6.0,6.0,7,7.0,6.0,13560.5,13560.5,10446.0,14349.06,14349.06,10800.46,48,17.0,0.0,4.14,4.14,4.83,2.33,2.33,2.0,0,0.0,0.0,5,5.0,5.0,4520.17,4520.17,3482.0,4783.02,4783.02,3600.15,5.5,5.5,14.4,1.0,1.0,4.0,10.0,10.0,50.0,3,3.0,2.0,4361.33,4361.33,1521.33,15,15.0,13.0,9199.17,9199.17,8924.67,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,25,25.0,25.0,18,18.0,15.0,0.7142857143,0.7142857143,0.8333333333,1937.2142857,1937.2142857,1741.0,9,9.0,9.0,0.1687727645,0.1687727645,0.1722729233,-3442.243689,-2909.318652,230.7693196,974.75,1600.5,4761.0,Pre_Etalon,Pre_Etalon,Pre_Base,133.74071332,255.91105858,436.67432648,979.76904762,1135.2857143,1307.0,Pre_Base,Pre_Base,Pre_Base,-0.583210147,-0.589253568,-0.232444911,0.0,0.0,0.33,Etalon,Etalon,Pre_Etalon,0.022335466,0.0208534481,-0.098870287,-0.047619048,-0.047619048,-0.166666667,Pre_Base,Pre_Base,Etalon,2.8269311041,2.7913207873,2.3827210471,4.86,4.86,4.5,Pre_Base,Pre_Base,Pre_Base,0.8803689824,0.8884668508,3.8602750318,7,7.0,10.0,Pre_Base,Pre_Base,Pre_Base,1.0,0.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,7.0,9.0,7.0,0.3452571064,0.6163522013,0.458626547,0.6406898754,0.0624438455,0.5251152633,0.0140530182,0.3212039533,0.0162581898,20APR2014:11:47:53.545764,20APR2014:11:07:29.240365,20APR2014:10:28:44.904630,4,4.0,4.0,Cluster9,Cluster9,Cluster9,9,9.0,9.0
